external_reference,label_filename,source_label_filename,intended_overall_status,mutation_type,scenario,rationale
DEMO20-001,demo20_001_clean_good_times_rye.png,001_23187001000130.png,pass_candidate,none,Reviewed clean real-label baseline,Reviewed base case with no added noise or occlusion.
DEMO20-002,demo20_002_clean_good_old_times_light_whiskey.png,002_23184001000114.png,pass_candidate,none,Reviewed clean real-label baseline,Reviewed base case with no added noise or occlusion.
DEMO20-003,demo20_003_clean_portuguese_cigar_good_times.png,003_23184001000109.png,pass_candidate,none,Reviewed clean real-label baseline,Reviewed base case with no added noise or occlusion.
DEMO20-004,demo20_004_clean_saperavi_qvevri_wine.png,004_23182001000063.png,pass_candidate,none,Reviewed clean real-label baseline,Reviewed base case with no added noise or occlusion.
DEMO20-005,demo20_005_clean_lakewood_five_texas_gin.png,005_23181001000611.png,pass_candidate,none,Reviewed clean real-label baseline,Reviewed base case with no added noise or occlusion.
DEMO20-006,demo20_006_clean_good_old_times_cigar.png,006_23181001000273.png,pass_candidate,none,Reviewed clean real-label baseline,Reviewed base case with no added noise or occlusion.
DEMO20-007,demo20_007_clean_good_times_apple_honey.png,007_23181001000258.png,pass_candidate,none,Reviewed clean real-label baseline,Reviewed base case with no added noise or occlusion.
DEMO20-008,demo20_008_clean_good_times_double_oak.png,008_23181001000249.png,pass_candidate,none,Reviewed clean real-label baseline,Reviewed base case with no added noise or occlusion.
DEMO20-009,demo20_009_review_motion_blur_good_times_rye.png,001_23187001000130.png,needs_review,motion_blur,Whole-image blur simulating handheld capture,"Core text is still present, but extraction confidence should drop."
DEMO20-010,demo20_010_review_skewed_capture_good_old_times_light_whiskey.png,002_23184001000114.png,needs_review,perspective_skew,Slightly skewed capture with uneven geometry,"A realistic phone-capture issue that should create ambiguity, not a clear mismatch."
DEMO20-011,demo20_011_review_glare_portuguese_cigar_good_times.png,003_23184001000109.png,needs_review,glare_hotspot,Front-label glare hotspot,Partial washout can make the read uncertain without removing the whole field.
DEMO20-012,demo20_012_review_low_contrast_saperavi_qvevri_wine.png,004_23182001000063.png,needs_review,low_contrast_blur,Reduced contrast and blur on dense wine text,"The back-label text becomes harder to trust, especially for detailed wording."
DEMO20-013,demo20_013_review_edge_crop_good_times_apple_honey.png,007_23181001000258.png,needs_review,edge_crop,Minor crop trimming edges and body text,The upload feels incomplete but still plausibly contains enough text to attempt review.
DEMO20-014,demo20_014_review_compressed_good_times_double_oak.jpg,008_23181001000249.png,needs_review,compression_artifacts,Low-quality re-encoded upload,Compression noise should push this into review instead of a clean candidate.
DEMO20-015,demo20_015_fail_warning_panel_missing_good_times_rye.png,001_23187001000130.png,likely_fail,warning_panel_missing,Lower back-panel warning area cropped away,A missing government warning should create a strong discrepancy signal.
DEMO20-016,demo20_016_fail_abv_band_occluded_good_old_times_light_whiskey.png,002_23184001000114.png,likely_fail,abv_band_occluded,ABV/proof area occluded on the front label,Hiding a core comparison field should surface the item near the top of the queue.
DEMO20-017,demo20_017_fail_net_contents_occluded_portuguese_cigar_good_times.png,003_23184001000109.png,likely_fail,net_contents_occluded,Net contents band occluded,"Missing net contents is a clean, explainable label-side discrepancy."
DEMO20-018,demo20_018_fail_origin_panel_missing_saperavi_qvevri_wine.png,004_23182001000063.png,likely_fail,origin_panel_missing,Back-label origin/import text cropped away,"For the wine case, losing the explicit origin signal should trigger review-first behavior."
DEMO20-019,demo20_019_fail_bottler_line_occluded_lakewood_five_texas_gin.png,005_23181001000611.png,likely_fail,bottler_line_occluded,Producer/address line hidden,This removes another key application-to-label comparison field.
DEMO20-020,demo20_020_fail_back_label_missing_good_old_times_cigar.png,006_23181001000273.png,likely_fail,back_label_missing,Most of the back label removed from the upload,An incomplete upload should concentrate reviewer attention immediately.
